GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qasidd-ims,com.qa.ims.controller,OrderController,9,225,2,6,4,54,6,13,4,10
qasidd-ims,com.qa.ims.controller,ItemController,8,103,0,2,3,29,3,7,3,6
qasidd-ims,com.qa.ims.controller,CustomerController,5,103,0,2,2,29,2,7,2,6
qasidd-ims,com.qa.ims,Ims,76,193,11,13,19,47,13,13,3,8
qasidd-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
qasidd-ims,com.qa.ims.persistence.dao,ItemDaoMysql,67,236,0,2,24,46,1,10,1,9
qasidd-ims,com.qa.ims.persistence.dao,OrderDaoMysql,89,417,0,4,32,79,1,15,1,13
qasidd-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,55,247,0,2,19,51,0,11,0,10
qasidd-ims,com.qa.action,OrderReadAction,12,71,0,2,6,10,1,5,1,4
qasidd-ims,com.qa.action,EntityAction,12,104,0,2,6,12,1,5,1,4
qasidd-ims,com.qa.action,OrderUpdateAction,12,71,0,2,6,10,1,5,1,4
qasidd-ims,com.qa.ims.services,OrderServices,0,58,0,0,0,12,0,9,0,9
qasidd-ims,com.qa.ims.services,CustomerServices,0,35,0,0,0,9,0,6,0,6
qasidd-ims,com.qa.ims.services,ItemServices,0,35,0,0,0,9,0,6,0,6
qasidd-ims,com.qa.ims.utils,Utils,84,0,0,0,27,0,5,0,5,0
qasidd-ims,com.qa.ims.persistence.domain,Domain,12,93,0,2,6,13,1,5,1,4
qasidd-ims,com.qa.ims.persistence.domain,Customer,0,178,0,30,0,48,0,26,0,11
qasidd-ims,com.qa.ims.persistence.domain,OrderItem,0,178,0,30,0,48,0,26,0,11
qasidd-ims,com.qa.ims.persistence.domain,Order,16,178,5,25,6,47,6,21,2,10
qasidd-ims,com.qa.ims.persistence.domain,Item,0,178,0,30,0,48,0,26,0,11
